gene1	gene2
E(bx)	Su(z)12
Idgf5	Su(z)12
trio	Su(z)12
pbl	emp
cactin	emp
Cyt-c-d	emp
sec23	emp
cos	emp
Su(H)	emp
tum	emp
alph	emp
mbo	emp
osa	emp
ksr	emp
Es2	CG2678
lola	CG2678
xmas-2	CG2678
dei	CG2678
mbt	CG2678
cbt	CG2678
rdx	CG2678
sced	CG2678
blow	CG2678
sina	neur
Rpd3	neur
dpld	neur
dom	neur
l(3)mbt	neur
tld	neur
CG10641	Rab5
mmy	Rab5
twi	Rab5
eve	Rab5
Hr78	Rab5
cathD	Rab7
RhoGAPp190	Rab7
tow	Rab7
Vhl	Mmp2
rad50	Mmp2
Uba1	Mmp2
ics	Mmp2
rg	Mmp2
mth	Mmp2
Sh	Mmp2
tou	Mmp2
bap	W
zfh2	W
LIMK1	W
chrw	W
Khc	bowl
sdt	bowl
Patj	bowl
Fas3	bowl
Dl	ben
shn	ben
da	rdo
hpo	rdo
tok	rdo
spn-A	rdo
Borr	rdo
CG16719	rdo
glu	rdo
CycE	rdo
esc	rdo
alien	rdo
CycA	rdo
Eip63F-1	rdo
E(z)	rdo
Caf1	rdo
dmt	rdo
thr	rdo
asf1	rdo
CG8149	lin
Traf6	lin
Lcp65Ag1	tra
Axn	tra
puc	tra2
by	tra2
sgg	tra2
Rab7	tra2
RhoGAPp190	cathD
14-3-3zeta	cathD
uzip	cathD
Dap160	d
Ark	d
18w	d
Mitf	d
Set2	lva
ap	lva
emp	lva
cactin	pbl
pot	pbl
Su(H)	pbl
tum	pbl
alph	pbl
mbo	pbl
wee	pbl
osa	pbl
wls	CG33205
par-6	CG33205
hpo	da
tok	da
spn-A	da
Borr	da
vap	Sema-2a
Tl	Sema-2a
snf	Sema-2a
sns	Eip74EF
sno	Eip74EF
Moe	eg
cnk	sec23
pot	sec23
Su(H)	sec23
tum	sec23
alph	sec23
mbo	sec23
wee	sec23
osa	sec23
alph	Pde8
mbo	Pde8
osa	Pde8
Btk29A	Pde8
CG8149	Arp66B
Traf6	Arp66B
emp	Arp66B
pbl	cos
cactin	cos
Pde8	cos
pot	cos
Su(H)	cos
tum	cos
alph	cos
mbo	cos
wee	cos
osa	cos
hpo	cos
tok	Borr
spn-A	Borr
esc	Borr
alien	Borr
Dl	Borr
Stat92E	Borr
CycA	Borr
Eip63F-1	Borr
E(z)	Borr
Caf1	Borr
dmt	Borr
thr	Borr
asf1	Borr
qua	Borr
bib	140up
MED4	140up
dsf	140up
Moe	140up
robo	cas
run	cas
Akt1	Abi
CG8247	betaTub56D
bcd	nej
pdm2	nej
Pvf1	nej
MED24	dlg1
tra	dlg1
Tm1	Lcp65Ag1
Yp1	Yp1
tra2	Yp1
Lcp65Ag1	yrt
cbx	yrt
morgue	tup
gro	G-ialpha65A
Krn	G-ialpha65A
gl	G-ialpha65A
Eip63E	G-ialpha65A
Axn	G-ialpha65A
meso18E	Sry-delta
cta	Sry-delta
prod	Sry-delta
stg	Sry-delta
stil	phyl
Tm1	phyl
CG17739	CG17739
mus304	CG17739
scrib	B4
Sobp	B4
l(2)gd1	B4
tub	B4
Pk61C	CG2681
CtBP	sina
kuk	sina
Rpd3	sina
dpld	sina
dom	sina
Dscam	sina
l(3)mbt	sina
tld	sina
dmt	CG16719
thr	CG16719
asf1	CG16719
sdt	Rack1
CG17221	Rack1
esg	Rack1
mth	Rack1
sav	Rack1
B4	Sobp
tub	Sobp
Snap	ash1
grp	ash1
Msp-300	ash1
fd59A	ash1
Moe	inv
chic	shot
wrapper	shot
pio	Tina-1
Dredd	Tina-1
hpo	Tina-1
spn-A	bon
Borr	bon
Ef1gamma	bon
Mer	bon
alien	bon
CycA	bon
Eip63F-1	bon
E(z)	bon
Caf1	bon
dmt	bon
Pgant35A	bon
thr	bon
asf1	bon
pbl	bon
cactin	pot
sec23	pot
cos	pot
Su(H)	pot
tum	pot
alph	pot
mbo	pot
osa	pot
Hr46	pot
Nf1	chic
how	S6kII
msi	S6kII
Eip74EF	S6kII
ttk	wal
chic	wal
CG1942	wal
shn	wal
Idgf4	wal
CG33205	wal
ena	wls
Appl	wls
par-6	wls
Prm	wls
sle	wls
Iswi	Ddx1
Glycogenin	Ddx1
Dscam	Ddx1
spen	Ddx1
bib	Sulf1
inv	Sulf1
Ark	Sulf1
Pi3K92E	Sulf1
betaTub56D	Sulf1
up	CG3987
Stat92E	CG3987
fd59A	CG3987
MED11	Abd-B
Pak	G-oalpha47A
Wnt5	G-oalpha47A
drk	G-oalpha47A
caup	G-oalpha47A
bcd	G-oalpha47A
Atg6	G-oalpha47A
fal	G-salpha60A
eg	G-salpha60A
l(1)G0289	dsf
Sb	Alk
PhKgamma	Alk
Pak	Alk
p53	Alk
Tak1	Alk
CSN4	ey
Wnt5	ey
NetB	ey
bcd	ey
SelG	ey
sax	ey
opa	noc
her	ix
CdsA	ix
foxo	Optix
lilli	Optix
spin	Optix
bs	Optix
Fas3	Optix
par-1	Optix
ecd	Optix
bowl	Optix
hyd	sdt
CG13850	sdt
